2020/12/03 15:21:48 [error] 29#29: *72 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: , request: "POST /ajaxfile.php HTTP/1.1", upstream: "fastcgi://172.18.0.4:9000", host: "localhost:2229", referrer: "http://localhost:2229/?"
2020/12/03 15:21:48 [error] 29#29: *72 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: , request: "POST /ajaxfile.php HTTP/1.1", upstream: "fastcgi://172.18.0.4:9000", host: "localhost:2229", referrer: "http://localhost:2229/?"
2020/12/03 15:23:07 [error] 28#28: *78 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: , request: "POST /ajaxfile.php HTTP/1.1", upstream: "fastcgi://172.18.0.4:9000", host: "localhost:2229", referrer: "http://localhost:2229/?"
2020/12/03 15:24:05 [error] 28#28: *83 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: , request: "GET /favicon.ico HTTP/1.1", upstream: "fastcgi://172.18.0.4:9000", host: "localhost:2229", referrer: "http://localhost:2229/?"
2020/12/03 15:24:07 [error] 28#28: *83 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: , request: "POST /ajaxfile.php HTTP/1.1", upstream: "fastcgi://172.18.0.4:9000", host: "localhost:2229", referrer: "http://localhost:2229/?"
2020/12/03 15:24:08 [error] 28#28: *83 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: , request: "POST /ajaxfile.php HTTP/1.1", upstream: "fastcgi://172.18.0.4:9000", host: "localhost:2229", referrer: "http://localhost:2229/?"
2020/12/03 15:24:08 [error] 28#28: *83 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: , request: "POST /ajaxfile.php HTTP/1.1", upstream: "fastcgi://172.18.0.4:9000", host: "localhost:2229", referrer: "http://localhost:2229/?"
2020/12/03 15:25:08 [error] 29#29: *82 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: , request: "GET /favicon.ico HTTP/1.1", upstream: "fastcgi://172.18.0.4:9000", host: "localhost:2229", referrer: "http://localhost:2229/?"
2020/12/03 15:25:10 [error] 29#29: *82 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: , request: "POST /ajaxfile.php HTTP/1.1", upstream: "fastcgi://172.18.0.4:9000", host: "localhost:2229", referrer: "http://localhost:2229/?"
2020/12/03 15:26:14 [error] 28#28: *95 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: , request: "GET /favicon.ico HTTP/1.1", upstream: "fastcgi://172.18.0.4:9000", host: "localhost:2229", referrer: "http://localhost:2229/?"
2020/12/03 15:26:27 [error] 28#28: *92 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: , request: "GET /favicon.ico HTTP/1.1", upstream: "fastcgi://172.18.0.4:9000", host: "localhost:2229", referrer: "http://localhost:2229/?"
2020/12/03 15:26:28 [error] 28#28: *92 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: , request: "POST /ajaxfile.php HTTP/1.1", upstream: "fastcgi://172.18.0.4:9000", host: "localhost:2229", referrer: "http://localhost:2229/?"
2020/12/03 15:26:33 [error] 28#28: *92 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: , request: "POST /ajaxfile.php HTTP/1.1", upstream: "fastcgi://172.18.0.4:9000", host: "localhost:2229", referrer: "http://localhost:2229/?"
2020/12/03 15:28:56 [error] 29#29: *101 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: , request: "GET /favicon.ico HTTP/1.1", upstream: "fastcgi://172.18.0.4:9000", host: "localhost:2229", referrer: "http://localhost:2229/?"
2020/12/03 15:28:59 [error] 29#29: *101 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: , request: "POST /ajaxfile.php HTTP/1.1", upstream: "fastcgi://172.18.0.4:9000", host: "localhost:2229", referrer: "http://localhost:2229/?"
2020/12/03 15:29:22 [error] 29#29: *103 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: , request: "GET /favicon.ico HTTP/1.1", upstream: "fastcgi://172.18.0.4:9000", host: "localhost:2229", referrer: "http://localhost:2229/?"
2020/12/03 15:29:46 [error] 29#29: *100 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: , request: "GET /favicon.ico HTTP/1.1", upstream: "fastcgi://172.18.0.4:9000", host: "localhost:2229", referrer: "http://localhost:2229/?"
2020/12/03 15:29:47 [error] 29#29: *100 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: , request: "POST /ajaxfile.php HTTP/1.1", upstream: "fastcgi://172.18.0.4:9000", host: "localhost:2229", referrer: "http://localhost:2229/?"
2020/12/03 15:31:15 [error] 28#28: *111 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: , request: "GET /favicon.ico HTTP/1.1", upstream: "fastcgi://172.18.0.4:9000", host: "localhost:2229", referrer: "http://localhost:2229/?"
2020/12/03 15:31:17 [error] 28#28: *111 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: , request: "POST /ajaxfile.php HTTP/1.1", upstream: "fastcgi://172.18.0.4:9000", host: "localhost:2229", referrer: "http://localhost:2229/?"
2020/12/03 15:33:17 [error] 28#28: *122 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: , request: "GET /favicon.ico HTTP/1.1", upstream: "fastcgi://172.18.0.4:9000", host: "localhost:2229", referrer: "http://localhost:2229/?"
2020/12/03 15:33:18 [error] 28#28: *122 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: , request: "POST /ajaxfile.php HTTP/1.1", upstream: "fastcgi://172.18.0.4:9000", host: "localhost:2229", referrer: "http://localhost:2229/?"
2020/12/03 15:41:17 [error] 28#28: *131 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: , request: "GET /favicon.ico HTTP/1.1", upstream: "fastcgi://172.18.0.4:9000", host: "localhost:2229", referrer: "http://localhost:2229/?"
2020/12/03 15:41:18 [error] 28#28: *131 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: , request: "POST /ajaxfile.php HTTP/1.1", upstream: "fastcgi://172.18.0.4:9000", host: "localhost:2229", referrer: "http://localhost:2229/?"
2020/12/03 15:41:29 [error] 28#28: *132 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: , request: "GET /favicon.ico HTTP/1.1", upstream: "fastcgi://172.18.0.4:9000", host: "localhost:2229", referrer: "http://localhost:2229/?"
2020/12/03 15:41:30 [error] 28#28: *132 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: , request: "POST /ajaxfile.php HTTP/1.1", upstream: "fastcgi://172.18.0.4:9000", host: "localhost:2229", referrer: "http://localhost:2229/?"
